Manual_guild_change,Kingdom,Phylum,Class,Order,Family,Genus,Guild
NA,Fungi,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,Lentinellus,Unassigned
NA,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcosomataceae,Trichaleurina,Unassigned
NA,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Tricellula,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Coprinus,Unassigned
NA,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,Camptophora,Unassigned
NA,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Unassigned
NA,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_fam_Incertae_sedis,Ceratostomella,Unassigned
NA,Fungi,Basidiomycota,Microbotryomycetes,Microbotryales,Ustilentylomataceae,Microbotryozyma,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Claussenomyces,Unassigned
NA,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Paecilomyces,Unassigned
NA,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Strelitzianaceae,Strelitziana,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Chalara,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Melanconiellaceae,Sheathospora,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Hydropus,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Thelebolus,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Mycopan,Unassigned
NA,Fungi,Basidiomycota,Microbotryomycetes,Microbotryomycetes_ord_Incertae_sedis,Chrysozymaceae,Pseudohyphozyma,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,Gloeodontia,Unassigned
NA,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,Unassigned
NA,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Minimelanolocus,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Myriangiales_fam_Incertae_sedis,Phaeosclera,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Engyodontium,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Geliporus,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,Unassigned
NA,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Infundichalara,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Clitocybe,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Lyomyces,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Xylariales,Requienellaceae,Parapyrenis,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Helminthosporium,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Unassigned
NA,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Castanedomyces,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Apiospora,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Dissoconiaceae,Uwebraunia,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Xylariales,Bartaliniaceae,Truncatella,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Lasiosphaeris,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Vuilleminiaceae,Vuilleminia,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporales_fam_Incertae_sedis,Fuscopostia,Unassigned
NA,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Myrothecium,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Flavodon,Unassigned
NA,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,Unassigned
NA,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Abundisporus,Unassigned
NA,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Lecania,Unassigned
