"","ID","target","site","sample_type","sampling","plant","site2","x","y","y_m","x_m"
"NF_0354","NF_0354","fungi","95","root","root","Pinus","p095",36.52112,138.35002,-132846.658,58843.201
"NF_0355","NF_0355","fungi","95","root","root","Pinus","p095",36.52112,138.35002,-132846.658,58843.201
"NF_0356","NF_0356","fungi","95","root","root","Pinus","p095",36.52112,138.35002,-132846.658,58843.201
"NF_0357","NF_0357","fungi","95","root","root","Pinus","p095",36.52112,138.35002,-132846.658,58843.201
"NF_0358","NF_0358","fungi","95","root","root","Pinus","p095",36.52112,138.35002,-132846.658,58843.201
"NF_0359","NF_0359","fungi","95","root","root","Pinus","p095",36.52112,138.35002,-132846.658,58843.201
"NF_0360","NF_0360","fungi","95","root","root","Pinus","p095",36.52112,138.35002,-132846.658,58843.201
"NF_0361","NF_0361","fungi","96","root","root","Betula","p096",36.52096,138.34919,-132921.272,58826.592
"NF_0362","NF_0362","fungi","96","root","root","Betula","p096",36.52096,138.34919,-132921.272,58826.592
"NF_0363","NF_0363","fungi","96","root","root","Betula","p096",36.52096,138.34919,-132921.272,58826.592
"NF_0364","NF_0364","fungi","96","root","root","Betula","p096",36.52096,138.34919,-132921.272,58826.592
