"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Guild"
"X_23238","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Barbatosphaeria","Unidentified","Unassigned"
"X_23250","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23253","Fungi","Rozellomycota","Rozellomycota_cls_Incertae_sedis","Rozellomycota_ord_Incertae_sedis","Rozellomycota_fam_Incertae_sedis","Rozellomycota_gen_Incertae_sedis","Unidentified","Unidentified"
"X_23268","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23279","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Unidentified","Endophyte"
"X_23289","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23290","Fungi","Chytridiomycota","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23301","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_23318","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_23324","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Papiliomyces","Unidentified","Unassigned"
"X_23326","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23340","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_23352","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23364","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","eminens","Unassigned"
"X_23367","Fungi","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23383","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_23421","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","ferraniaense","Unassigned"
"X_23422","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23424","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_23445","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23448","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23456","Viridiplantae","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23461","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Ramariopsis","flavescens","Unassigned"
"X_23466","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23478","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Dothiora","Unidentified","Unassigned"
"X_23480","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_23508","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23515","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23522","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_23530","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_23562","Viridiplantae","Anthophyta","Eudicotyledonae","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_23569","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","imbricatum","EcMF"
"X_23576","Fungi","Ascomycota","Sordariomycetes","Diaporthomycetidae_ord_Incertae_sedis","Barbatosphaeriaceae","Barbatosphaeriaceae_gen_Incertae_sedis","Unidentified","Unidentified"
"X_23578","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_23585","Fungi","Mucoromycota","Endogonomycetes","GS22","GS22_fam_Incertae_sedis","GS22_gen_Incertae_sedis","Unidentified","Unidentified"
"X_23597","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariales_fam_Incertae_sedis","Oliveonia","pauxilla","Unassigned"
"X_02555","Fungi","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_02591","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_02868","Fungi","Ascomycota","Dothideomycetes","Acrospermales","Acrospermales_fam_Incertae_sedis","Leptodiscella","Unidentified","Unassigned"
"X_02964","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Unidentified","EcMF"
"X_03110","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Unidentified","Unidentified","Unidentified"
"X_03337","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_03879","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_04094","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unidentified","EcMF"
"X_04304","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletales_fam_Incertae_sedis","Leucogyrophana","olivascens","Unassigned"
"X_04469","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_04613","Fungi","Ascomycota","Leotiomycetes","Helotiales","Tympanidaceae","Tympanidaceae_gen_Incertae_sedis","Unidentified","Unidentified"
"X_04664","Fungi","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_04707","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_04902","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Byssocorticiaceae","Byssocorticium","Unidentified","EcMF"
"X_05073","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","pura","Other_RAF"
"X_05145","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_05223","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavulinopsis","helvola","Unassigned"
"X_05333","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","Unidentified","EcMF"
"X_05444","Fungi","Basidiomycota","Agaricomycetes","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_05472","Fungi","Basidiomycota","Agaricomycetes","Tremellodendropsidales","Tremellodendropsidales_fam_Incertae_sedis","Tremellodendropsidales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_05650","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Unidentified","EcMF"
"X_05660","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_05752","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_05941","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_06022","Viridiplantae","Anthophyta","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_06270","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Rhizophydiales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_06643","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Unidentified","EcMF"
"X_06653","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Rhizophydiales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_06740","Viridiplantae","Anthophyta","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_06768","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","fucatum","EcMF"
"X_06783","Fungi","Kickxellomycota","GS19","GS19_ord_Incertae_sedis","GS19_ord_Incertae_sedis_fam_Incertae_sedis","GS19_ord_Incertae_sedis_gen_Incertae_sedis","Unidentified","Unidentified"
"X_06827","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Coniothyriaceae","Coniothyrium","platani","Unassigned"
"X_06841","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_06898","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Steccherinaceae","Steccherinum","Unidentified","Unassigned"
"X_06975","Fungi","Basidiomycota","Agaricomycetes","Russulales","Lachnocladiaceae","Asterostroma","cervicolor","Unassigned"
"X_06994","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","nigricans","EcMF"
"X_07015","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Unidentified","Unidentified","AMF"
"X_07400","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_07584","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Unidentified","EcMF"
"X_07644","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","atra","EcMF"
"X_07647","Fungi","Mucoromycota","Umbelopsidomycetes","GS23","GS23_fam_Incertae_sedis","GS23_gen_Incertae_sedis","Unidentified","Unidentified"
"X_07651","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium","marchalianum","Unassigned"
"X_07693","Fungi","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_07862","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium","Unidentified","Unassigned"
"X_07870","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Exidiaceae","Exidia","Unidentified","Unassigned"
"X_07891","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Unidentified","Other_RAF"
"X_07937","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Unidentified","EcMF"
"X_07996","Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","rosea","Unassigned"
"X_08119","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Dactylella","Unidentified","Unassigned"
"X_08155","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus","baronii","Unassigned"
"X_08197","Fungi","Basidiomycota","Atractiellomycetes","Atractiellales","Phleogenaceae","Bourdotigloea","Unidentified","Unassigned"
"X_08244","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_08249","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Unidentified","EcMF"
"X_08345","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellales_fam_Incertae_sedis","Mortierellales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_08373","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Leohumicola","minima","Unassigned"
"X_08427","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Gorgomyces","Unidentified","Unassigned"
"X_08480","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Torulaceae","Torula","fici","Unassigned"
"X_08487","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phanerochaete","Unidentified","Unassigned"
"X_08573","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_08586","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phlebiopsis","castanea","Unassigned"
"X_08640","Fungi","Chytridiomycota","Lobulomycetes","Lobulomycetales","Lobulomycetales_fam_Incertae_sedis","Lobulomycetales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_08646","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_08675","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipitaceae_gen_Incertae_sedis","Unidentified","Unidentified"
"X_08694","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","friesii","Unassigned"
"X_08919","Fungi","Ascomycota","Sordariomycetes","Sordariales","Unidentified","Unidentified","Unidentified","Unidentified"
"X_08947","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","fuligineoatra","EcMF"
"X_08987","Viridiplantae","Anthophyta","Eudicotyledonae","Sapindales","Anacardiaceae","Toxicodendron","orientale","Unassigned"
"X_09041","Fungi","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_09077","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Hydnum","Unidentified","EcMF"
"X_09108","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_09218","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_09339","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Rachicladosporium","paucitum","Unassigned"
"X_09362","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_09446","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Unidentified","Unassigned"
"X_09480","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_09623","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Cistella","Unidentified","Unassigned"
"X_09733","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Unidentified","Unassigned"
"X_09760","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","brunneicoeruleum","Unassigned"
"X_09778","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Odontia","Unidentified","Unassigned"
"X_09796","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_09817","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_09832","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_09935","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys","Unidentified","Nematophagous"
"X_10033","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Unidentified","EcMF"
"X_10045","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_10112","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Unidentified","Unidentified","Unidentified"
"X_10206","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Pezoloma","Unidentified","Endophyte"
"X_10238","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_10244","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Unidentified","Unidentified","Unidentified"
"X_10255","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Leohumicola","Unidentified","Unassigned"
"X_10275","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Endogonales_fam_Incertae_sedis","Endogonales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_10356","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Unidentified","Unidentified","Unidentified","Unidentified"
"X_10524","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_10539","Fungi","Rozellomycota","Rozellomycota_cls_Incertae_sedis","Rozellomycota_ord_Incertae_sedis","Rozellomycota_fam_Incertae_sedis","Rozellomycota_gen_Incertae_sedis","Unidentified","Unidentified"
"X_10564","Fungi","Ascomycota","Dothideomycetes","Minutisphaerales","Minutisphaeraceae","Minutisphaera","aspera","Unassigned"
"X_10591","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_10662","Fungi","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Chrysozymaceae","Yurkovia","Unidentified","Unassigned"
"X_10714","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidiaceae_gen_Incertae_sedis","Unidentified","Unidentified"
"X_10773","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","floridana","Endophyte"
"X_10791","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Unidentified","Other_RAF"
"X_10820","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavulinopsis","luteonana","Unassigned"
"X_10881","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Endogonales_fam_Incertae_sedis","Endogonales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_10948","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Gymnopus","confluens","Unassigned"
"X_10961","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_11045","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Rhizophydiales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_11049","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_11119","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_11218","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_11244","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Bovista","pusilliformis","Unassigned"
"X_11255","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_11269","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Endogonaceae","Endogone","Unidentified","Endophyte"
"X_11270","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_11283","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_11362","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma","Unidentified","EcMF"
"X_11423","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Paracylindrocarpon","aloicola","Unassigned"
"X_11429","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulales_fam_Incertae_sedis","Russulales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_11434","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_11489","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliales_fam_Incertae_sedis","Orbiliales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_11528","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Rhizophydiales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_11556","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_11610","Fungi","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_11613","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Endogonales_fam_Incertae_sedis","Endogonales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_11670","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Collybiopsis","luxurians","Unassigned"
"X_11728","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_11729","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Unidentified","Unassigned"
"X_11743","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Unidentified","Unidentified","Unidentified"
"X_11762","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_11765","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Lepista","nuda","Unassigned"
"X_11767","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Meliniomyces","Unidentified","Endophyte"
"X_11784","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Hodophilus","Unidentified","Unassigned"
"X_11847","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_11864","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Unidentified","Endophyte"
"X_11924","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_11929","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Hyaloriaceae","Protodontia","insularis","Unassigned"
"X_11958","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Unidentified","Endophyte"
"X_11962","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","exile","Unassigned"
"X_11980","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Ramariopsis","Unidentified","Unassigned"
"X_12140","Fungi","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_12188","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_12240","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Trichomonascus","Unidentified","Unassigned"
"X_12242","Fungi","Kickxellomycota","Ramicandelaberomycetes","Ramicandelaberales","Ramicandelaberales_fam_Incertae_sedis","Ramicandelaberales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_12260","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Unidentified","EcMF"
"X_12275","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_12277","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Unidentified","EcMF"
"X_12307","Fungi","Basidiomycota","Agaricomycetes","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_12414","Fungi","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_12487","Viridiplantae","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_12489","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_12582","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","pachyderma","Unassigned"
"X_12585","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_12619","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_12691","Fungi","Ascomycota","Leotiomycetes","Helotiales","Unidentified","Unidentified","Unidentified","Unidentified"
"X_12719","Metazoa","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_12761","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_12830","Fungi","Basidiomycota","Agaricomycetes","Russulales","Auriscalpiaceae","Lentinellus","pulvinulus","Unassigned"
"X_12839","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_12896","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Endogonaceae","Endogone","Unidentified","Endophyte"
"X_12905","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_12963","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Unidentified","Unidentified","Unidentified","Unidentified"
"X_13029","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Botryobasidiaceae","Botryobasidium","conspersum","Unassigned"
"X_13057","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_13076","Fungi","Ascomycota","Leotiomycetes","Helotiales","Unidentified","Unidentified","Unidentified","Unidentified"
"X_13081","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_13131","Metazoa","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_13133","Fungi","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","Branch03","Branch03_fam_Incertae_sedis","Branch03_gen_Incertae_sedis","Unidentified","Unidentified"
"X_13144","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcosomataceae","Trichaleurina","tenuispora","Unassigned"
"X_13151","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_13165","Fungi","Kickxellomycota","Ramicandelaberomycetes","Ramicandelaberales","Ramicandelaberaceae","Ramicandelaber","Unidentified","Unassigned"
