"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Guild"
"X_21188","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Cyanosporus","Unidentified","Unassigned"
"X_21196","Fungi","Chytridiomycota","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21199","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Mycoacia","fuscoatra","Unassigned"
"X_21204","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariales_fam_Incertae_sedis","Renatobasidium","Unidentified","Unassigned"
"X_21205","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21206","Viridiplantae","Anthophyta","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21220","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Picipes","badius","Unassigned"
"X_21226","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21228","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21232","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","petiginosa","EcMF"
"X_21238","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Laetisaria","fuciformis","Unassigned"
"X_21240","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21252","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Meliniomyces","Unidentified","Endophyte"
"X_21257","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21260","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum","pedicellatum","Unassigned"
"X_21296","Fungi","Mucoromycota","Endogonomycetes","Endogonales","Endogonaceae","Endogone","Unidentified","Endophyte"
"X_21313","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Unidentified","Other_RAF"
"X_21314","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Herpotrichiellaceae_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21339","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21341","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","sinar","Other_RAF"
"X_21357","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21358","Viridiplantae","Anthophyta","Eudicotyledonae","Fagales","Nothofagaceae","Fuscospora","Unidentified","Unassigned"
"X_21391","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21394","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21405","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","hypsicladia","Other_RAF"
"X_21414","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21425","Fungi","Mucoromycota","Umbelopsidomycetes","GS23","GS23_fam_Incertae_sedis","GS23_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21436","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21442","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21484","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21492","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21493","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21494","Metazoa","Metazoa_phy_Incertae_sedis","Metazoa_cls_Incertae_sedis","Metazoa_ord_Incertae_sedis","Metazoa_fam_Incertae_sedis","Metazoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21506","Viridiplantae","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21508","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21516","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21518","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricales_fam_Incertae_sedis","Agaricales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21547","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21552","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phanerochaete","crystallina","Unassigned"
"X_21556","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21557","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21559","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21565","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetales_fam_Incertae_sedis","Spizellomycetales_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21568","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Gliomastix","roseogrisea","Unassigned"
"X_21574","Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Phialocephala","fortinii","Endophyte"
"X_21588","Viridiplantae","Anthophyta","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21603","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Gorgomyces","honrubiae","Unassigned"
"X_21614","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","Unidentified","Other_RAF"
"X_21622","Metazoa","Metazoa_phy_Incertae_sedis","Metazoa_cls_Incertae_sedis","Metazoa_ord_Incertae_sedis","Metazoa_fam_Incertae_sedis","Metazoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21642","Fungi","Basidiomycota","Agaricomycetes","Agaricomycetes_ord_Incertae_sedis","Agaricomycetes_fam_Incertae_sedis","Xenasmatella","Unidentified","Unassigned"
"X_21654","Fungi","Ascomycota","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21658","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Unidentified","Endophyte"
"X_21677","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21682","Fungi","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21691","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21700","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21725","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21736","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21743","Fungi","Ascomycota","Sordariomycetes","Sordariales","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21750","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21755","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21757","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","carinthiaca","Unassigned"
"X_21763","Metazoa","Rotifera","Rotifera_cls_Incertae_sedis","Rotifera_ord_Incertae_sedis","Rotifera_fam_Incertae_sedis","Rotifera_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21773","Fungi","Rozellomycota","Rozellomycota_cls_Incertae_sedis","Rozellomycota_ord_Incertae_sedis","Rozellomycota_fam_Incertae_sedis","Rozellomycota_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21797","Fungi","Ascomycota","Sordariomycetes","Unidentified","Unidentified","Unidentified","Unidentified","Unidentified"
"X_21798","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21804","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Cercozoa_ord_Incertae_sedis","Cercozoa_fam_Incertae_sedis","Cercozoa_gen_Incertae_sedis","Unidentified","Unidentified"
"X_21809","Fungi","Chytridiomycota","GS14","GS14_ord_Incertae_sedis","GS14_fam_Incertae_sedis","GS14_gen_Incertae_sedis","Unidentified","Unidentified"
